nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,neck
[0.23998682 0.5638396  0.60279953],[0.26384783 0.52538717 0.52045745],[0.26836067 0.51843786 0.5982137 ],[0.37258705 0.5237496  0.2676424 ],[0.37095186 0.518968   0.35885713],[0.413354  0.5300671 0.4785483],[0.41712365 0.5294399  0.5493207 ],[0.45550305 0.5140903  0.70643467],[0.45578477 0.5119328  0.67358166],[0.5660455 0.5165027 0.6456644],[0.5712558  0.51653457 0.6878038 ],[0.6702172  0.49939093 0.5674553 ],[0.681275   0.49401546 0.63292336],[0.26610425 0.5219125  0.5593356 ]
[0.2399814 0.5593542 0.5211758],[0.26182675 0.52510524 0.4877087 ],[0.27111223 0.5193619  0.6391557 ],[0.36784574 0.52048117 0.24813813],[0.3658424  0.51492405 0.36460707],[0.4103093  0.5297854  0.44534618],[0.41422093 0.52807486 0.5132802 ],[0.45740598 0.5159278  0.6025355 ],[0.45751482 0.5120496  0.6510764 ],[0.5677011  0.51682025 0.6616842 ],[0.57252145 0.51550883 0.6985171 ],[0.67284536 0.49882197 0.5517317 ],[0.68408537 0.4921244  0.652964  ],[0.26646948 0.5222336  0.5634322 ]
[0.24200693 0.5583173  0.50796723],[0.26574805 0.521724   0.4474841 ],[0.2751506  0.50752354 0.70170003],[0.37074134 0.51807815 0.2710184 ],[0.36936948 0.51068145 0.38166708],[0.40942234 0.52889085 0.29072633],[0.40542138 0.5284095  0.42907357],[0.46188426 0.51615644 0.63334894],[0.46259028 0.5063204  0.68125725],[0.5664793 0.5154252 0.6666865],[0.57132304 0.51319635 0.7029487 ],[0.67316383 0.49993384 0.5913087 ],[0.68801284 0.4892684  0.6569409 ],[0.27044934 0.51462376 0.57459205]
[0.24102108 0.5746775  0.6449202 ],[0.26894706 0.53030086 0.5857821 ],[0.2745109  0.52422667 0.7033589 ],[0.37445018 0.5282556  0.32299554],[0.37771592 0.5219294  0.36931565],[0.42534623 0.5333113  0.38605744],[0.43120193 0.53438365 0.49610403],[0.4600268  0.51878744 0.58113843],[0.45980835 0.5211909  0.6583515 ],[0.56605494 0.5249547  0.6176374 ],[0.57260203 0.5251644  0.603486  ],[0.6748191 0.5007025 0.627174 ],[0.6884839  0.49950382 0.56529045],[0.271729   0.52726376 0.64457047]
[0.24170321 0.5796413  0.5822828 ],[0.2769919 0.5368338 0.6468913],[0.2822788 0.5323945 0.7702386],[0.3709116 0.5324199 0.3728784],[0.37625584 0.5280569  0.43606657],[0.41944015 0.54194236 0.40820068],[0.42564505 0.5388329  0.47572762],[0.4649815  0.52340823 0.6182035 ],[0.46537995 0.52490646 0.65256816],[0.5670216 0.537351  0.6380486],[0.57426035 0.54362714 0.7170845 ],[0.6716273  0.50247127 0.6509341 ],[0.6873767  0.50740606 0.644241  ],[0.27963537 0.5346142  0.70856494]
[0.24170285 0.57948476 0.48673674],[0.2793464  0.5464436  0.41542706],[0.285375   0.5424953  0.52776474],[0.3847942 0.5451825 0.3656293],[0.39276564 0.54476434 0.34643805],[0.42179176 0.5540637  0.3671649 ],[0.4144538  0.55299366 0.4504379 ],[0.4721626  0.5268756  0.71135473],[0.47369987 0.53960735 0.691812  ],[0.5619705  0.52414244 0.4731413 ],[0.56895643 0.57475233 0.66432035],[0.6737461 0.4911923 0.6534768],[0.6791689  0.53465027 0.68340576],[0.2823607  0.5444695  0.47159588]
[0.24092232 0.5892236  0.67825264],[0.2816066  0.54963726 0.5022237 ],[0.2901629  0.54812586 0.6161173 ],[0.379494   0.5462426  0.38260177],[0.38567144 0.54556084 0.3939017 ],[0.42008564 0.5607543  0.3947497 ],[0.42383143 0.56081593 0.43082777],[0.46398795 0.53516585 0.6778418 ],[0.4666005  0.54412013 0.6693337 ],[0.5620043  0.52986795 0.5098058 ],[0.56242186 0.58501804 0.55931234],[0.67616576 0.49312517 0.6857724 ],[0.6781725  0.5527886  0.68027973],[0.28588474 0.54888153 0.5591705 ]
[0.24375302 0.5949248  0.64858556],[0.29298717 0.5585563  0.45483306],[0.29875672 0.551252   0.7070731 ],[0.37761784 0.5581815  0.38779435],[0.3836865  0.55514336 0.42228872],[0.42090723 0.5661025  0.38224417],[0.41824162 0.5581434  0.4277189 ],[0.4759316  0.54104555 0.71370757],[0.4739132  0.54987675 0.5853395 ],[0.56375855 0.53564847 0.4883768 ],[0.55912554 0.60003644 0.554928  ],[0.6726545  0.49143022 0.67195404],[0.6728183  0.5698619  0.71816695],[0.29587194 0.55490416 0.58095306]
[0.24367297 0.6000855  0.5690825 ],[0.29243502 0.56115526 0.50293237],[0.30007952 0.5570219  0.7082474 ],[0.377329   0.55947995 0.38206828],[0.3836515  0.5597857  0.39788222],[0.41829306 0.56363285 0.38310984],[0.42217225 0.56532854 0.44008836],[0.4713874 0.5418279 0.6254073],[0.4709373  0.55903304 0.53623897],[0.5655178  0.53060985 0.5273153 ],[0.5597282 0.6150112 0.6180724],[0.67061996 0.48913118 0.7024776 ],[0.6785413  0.59318876 0.71831197],[0.29625726 0.5590886  0.60558987]
[0.24518552 0.6190375  0.3339304 ],[0.29161307 0.5887414  0.5619709 ],[0.30278563 0.5801224  0.71952266],[0.374536   0.584264   0.29492548],[0.3776266  0.58038837 0.44716302],[0.42678747 0.61015993 0.43648782],[0.4344231  0.6053677  0.55923355],[0.46908066 0.57768756 0.6725082 ],[0.4706238  0.58210516 0.7018799 ],[0.5656929  0.55014753 0.5940787 ],[0.5474373  0.67198455 0.65902436],[0.6644593  0.49760124 0.5225158 ],[0.6723789  0.67440194 0.7267546 ],[0.29719937 0.5844319  0.6407468 ]
[0.24923214 0.6391986  0.5168726 ],[0.29725364 0.60148907 0.5207192 ],[0.30620152 0.6044076  0.70908505],[0.37499392 0.59145045 0.27291358],[0.37153572 0.59394735 0.39662704],[0.4238839  0.62636375 0.4340362 ],[0.43015707 0.6254981  0.54382366],[0.46596253 0.58677554 0.6495081 ],[0.46961102 0.6002134  0.6874131 ],[0.56231534 0.55722    0.5903351 ],[0.55075514 0.68798804 0.6519513 ],[0.66415894 0.4957674  0.55664796],[0.6756267  0.70767635 0.59388137],[0.3017276  0.6029483  0.61490214]
[0.24903288 0.64487016 0.4375496 ],[0.29779732 0.60616815 0.5973291 ],[0.30863482 0.61498964 0.75873566],[0.3769208  0.6030112  0.30639827],[0.3782044  0.60727084 0.32666713],[0.42311662 0.63159275 0.46721345],[0.43093187 0.63563335 0.6307818 ],[0.4703217  0.59590495 0.6763454 ],[0.4741254 0.6150204 0.6826281],[0.563618  0.5588717 0.5971375],[0.5466107  0.689746   0.65428364],[0.6609328  0.49337348 0.6835662 ],[0.6803764  0.72474426 0.6072806 ],[0.30321607 0.6105789  0.6780324 ]
[0.2529316 0.6581139 0.3826427],[0.2992242  0.6237485  0.57723373],[0.30561262 0.6375889  0.7474083 ],[0.39892575 0.62826705 0.34893754],[0.39998645 0.63338125 0.45339063],[0.43079147 0.6451886  0.36364728],[0.4315171 0.641533  0.5187855],[0.47734588 0.6176943  0.6277244 ],[0.48028728 0.63540363 0.6737708 ],[0.56322837 0.5738273  0.55039495],[0.553883   0.71305704 0.68760234],[0.65415263 0.49445412 0.6256647 ],[0.68296504 0.75388736 0.7291637 ],[0.3024184 0.6306687 0.662321 ]
