Nose-Neck-Right Shoulder,Nose-Neck-Left Shoulder,Neck-Right Shoulder-Right Elbow,Neck-Left Shoulder-Left Elbow,Right Shoulder-Right Elbow-Right Wrist,Left Shoulder-Left Elbow-Left Wrist,Neck-Right Hip-Right Knee,Neck-Left Hip-Left Knee,Right Hip-Right Knee-Right Ankle,Left Hip-Left Knee-Left Ankle
94.390434,104.332855,84.20866,93.298355,148.4149,157.98355,169.32617,168.87825,172.43056,172.40602
100.83201,114.11366,98.59857,80.91245,134.32483,142.73091,166.34106,165.07076,171.7068,171.79077
104.74454,116.248886,91.78579,89.39233,120.57978,125.775055,166.0914,162.78455,172.19208,171.047
112.5163,121.32636,95.57712,79.130844,105.48561,116.35912,165.97754,161.94281,168.89,169.88597
121.84438,134.06253,87.28048,87.88866,95.55869,107.21955,165.631,161.19554,167.36617,168.19078
123.47634,138.34697,67.403496,110.90614,91.14552,97.23367,167.79903,163.3237,167.64864,165.44643
136.53969,149.97525,60.26094,116.667656,81.54468,86.92725,172.5575,167.08517,168.5347,165.4687
149.66798,160.95695,48.714096,130.81769,77.62211,79.86966,170.86734,167.76709,168.58109,166.62634
156.68922,169.34537,39.901,138.5447,66.2906,69.537056,171.41095,167.55276,167.49448,168.22813
166.51341,175.96884,30.197418,145.88078,59.11379,66.681435,173.232,167.87514,169.13214,169.7059
146.94545,159.26106,48.141716,127.06555,69.36203,75.234375,170.99658,167.29999,166.43533,167.32422
138.92221,151.91052,59.893917,116.66823,80.91988,85.65439,170.40836,167.41113,166.89784,167.73087
124.143654,138.95354,77.93925,101.29123,92.038734,99.38961,165.77052,161.91599,167.16072,165.56885
120.40363,132.46924,88.34263,84.73607,95.14899,108.481224,165.1038,160.26518,166.35486,166.4356
113.23707,119.95105,94.50733,79.1655,105.696045,120.563034,165.39742,162.0284,168.42479,169.13019
105.123,116.935814,85.61926,96.0128,120.20105,123.19369,166.26466,162.58252,172.54877,170.36491
100.46649,111.78334,93.86562,84.78764,138.92009,147.09126,165.74693,165.47737,171.30891,171.73912
91.47417,101.7964,79.89718,98.11211,152.74785,162.39867,169.71727,169.89087,172.18166,172.20143
