nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,neck
[0.46218392 0.8383655  0.55697256],[0.43625045 0.70156425 0.7310258 ],[0.44442147 0.7325984  0.7976516 ],[0.5691482  0.65825725 0.6244845 ],[0.589617   0.67819065 0.5829863 ],[0.6766716  0.66571444 0.6589128 ],[0.7245861  0.7045313  0.86488986],[0.48684642 0.4871504  0.7160763 ],[0.4907505  0.48461443 0.6765286 ],[0.5681819  0.29134303 0.5311303 ],[0.5722824  0.29169476 0.8500042 ],[0.6168352  0.10930014 0.78519607],[0.62781    0.08928271 0.7610698 ],[0.44033596 0.7170813  0.76433873]
[0.50022143 0.848454   0.55439633],[0.4603997  0.7201786  0.72443575],[0.481196   0.744763   0.72527844],[0.5701704 0.653854  0.6208784],[0.59696543 0.6734582  0.7710165 ],[0.67217416 0.664806   0.60740215],[0.7188872  0.70395935 0.86290765],[0.49608237 0.49164653 0.7968295 ],[0.503963   0.49184835 0.79876447],[0.5723098  0.29226536 0.78918487],[0.5801308  0.29855025 0.7858881 ],[0.6143717  0.10582888 0.76616096],[0.63015074 0.08551374 0.739927  ],[0.47079784 0.7324708  0.7248571 ]
[0.530509   0.85059035 0.7013531 ],[0.48564515 0.7342879  0.71849567],[0.5015501  0.75285494 0.7845969 ],[0.5866792  0.6495806  0.52540535],[0.6095689 0.6660113 0.7942724],[0.67858166 0.672918   0.39740148],[0.7188875  0.70714945 0.6867232 ],[0.50390255 0.49920005 0.7789365 ],[0.5175389  0.49439073 0.7408001 ],[0.5782513  0.29075122 0.81463253],[0.5875957 0.2954173 0.8304411],[0.61327887 0.10496613 0.79422057],[0.63070196 0.08521137 0.72785044],[0.49359763 0.7435714  0.75154626]
[0.5681321  0.85584444 0.5776303 ],[0.5090084  0.74863    0.62197727],[0.53588873 0.7644326  0.74633616],[0.5893377  0.6572573  0.44429374],[0.61206627 0.65969026 0.6561558 ],[0.6759535  0.6804025  0.37768787],[0.71442044 0.6980449  0.8481666 ],[0.51972425 0.50616896 0.65657204],[0.54080355 0.49840778 0.7381172 ],[0.5859347 0.2953265 0.5138838],[0.6055492  0.30019963 0.7561206 ],[0.6098319  0.10928771 0.8156594 ],[0.63221145 0.08242118 0.67157483],[0.52244854 0.7565313  0.6841567 ]
[0.5884477  0.8598771  0.49129167],[0.53046453 0.7516927  0.59894925],[0.5606923 0.7688489 0.7214264],[0.5881541  0.65824556 0.46270162],[0.61678827 0.6580768  0.64981437],[0.6800096  0.6819489  0.32137528],[0.7219042  0.6990585  0.87186664],[0.5338558  0.50582707 0.7744789 ],[0.5557033 0.5009071 0.667898 ],[0.5949764  0.29498997 0.5604514 ],[0.6172745 0.2944299 0.7390164],[0.6089052  0.11219167 0.8388429 ],[0.6319797  0.08257997 0.64872664],[0.5455784  0.76027083 0.66018784]
[0.62450016 0.86190313 0.5097416 ],[0.5550808  0.76417327 0.6915772 ],[0.58237845 0.78566706 0.6173576 ],[0.5862397  0.664196   0.38749725],[0.61400664 0.6725396  0.5956642 ],[0.6847646  0.6817043  0.41430604],[0.71972394 0.6998296  0.8276039 ],[0.55558634 0.5111226  0.76838017],[0.5781064  0.50895864 0.66204673],[0.60675055 0.3031946  0.76805955],[0.6312617  0.29920074 0.82267493],[0.60436404 0.11579464 0.7604068 ],[0.63814276 0.08830558 0.6818171 ],[0.56872964 0.77492017 0.6544674 ]
[0.6442161 0.8728039 0.5559929],[0.5720693  0.7661845  0.66607964],[0.5992983  0.78454345 0.64011985],[0.58396363 0.6736139  0.39700073],[0.6072202  0.67795444 0.57866514],[0.6910772  0.69326234 0.3518656 ],[0.7182433  0.7029864  0.81532484],[0.5755209 0.5165626 0.738399 ],[0.6003626  0.51251376 0.6214576 ],[0.6160821  0.30119836 0.517782  ],[0.63957113 0.3037882  0.7657453 ],[0.6039524  0.12167168 0.77833956],[0.63650393 0.09115722 0.674331  ],[0.5856838 0.775364  0.6530998]
[0.6457914  0.876171   0.42048734],[0.58763963 0.7685251  0.59892935],[0.6086298  0.78606784 0.72190845],[0.5861187  0.6748638  0.42422533],[0.6060219  0.679233   0.56660885],[0.6954905  0.6925782  0.34267074],[0.72068    0.70147777 0.79298335],[0.58424    0.51818043 0.6930857 ],[0.60296994 0.513945   0.6898433 ],[0.6187813  0.30404934 0.55817413],[0.6401268  0.3071147  0.73955214],[0.6051897  0.11941951 0.76296914],[0.6354789  0.09141347 0.6713216 ],[0.59813476 0.7772965  0.66041887]
[0.6660164  0.87594116 0.44981775],[0.6029197  0.76196784 0.51412755],[0.6318208 0.7866244 0.6709174],[0.59020144 0.6723362  0.31099045],[0.61361504 0.67933106 0.5020258 ],[0.6940019  0.6951333  0.39720693],[0.7282793  0.70808816 0.81174964],[0.59335035 0.5256734  0.64030653],[0.6140093  0.52099943 0.73193973],[0.62025344 0.30429375 0.59931797],[0.6436546  0.30539143 0.56657153],[0.60466045 0.12025692 0.7666957 ],[0.62688446 0.1003888  0.60700107],[0.61737025 0.7742961  0.5925225 ]
[0.67332    0.8763342  0.55302745],[0.6073042 0.7567669 0.5338147],[0.6419326 0.7872967 0.575545 ],[0.5837468  0.66554666 0.2613485 ],[0.6051669  0.67678666 0.47509855],[0.6897406  0.6820282  0.31374043],[0.726573   0.70366704 0.82537115],[0.5975616  0.51737666 0.7620043 ],[0.6215669  0.51627314 0.65269315],[0.6196168 0.3096274 0.6623855],[0.64464295 0.29978782 0.5024147 ],[0.6055826 0.1200627 0.7618551],[0.6280177  0.10111476 0.6353745 ],[0.6246184 0.7720318 0.5546799]
