Nose-Neck-Right Shoulder,Nose-Neck-Left Shoulder,Neck-Right Shoulder-Right Elbow,Neck-Left Shoulder-Left Elbow,Right Shoulder-Right Elbow-Right Wrist,Left Shoulder-Left Elbow-Left Wrist,Neck-Right Hip-Right Knee,Neck-Left Hip-Left Knee,Right Hip-Right Knee-Right Ankle,Left Hip-Left Knee-Left Ankle
123.52846,120.931404,122.70344,56.137707,167.51736,170.32835,174.70612,176.3848,166.1501,169.42143
129.71736,126.50079,150.94409,29.240345,162.11044,165.14378,175.22581,177.64497,166.43898,169.82285
125.34443,121.08952,121.59,54.501408,155.73463,162.39368,173.90709,179.14066,164.79338,172.13852
125.81072,122.376236,133.764,46.400253,165.617,173.2165,176.133,174.09361,165.49641,164.10092
133.9943,131.4889,142.6227,37.328163,165.04913,166.20757,167.25227,168.7594,152.48842,153.77881
139.11133,138.86552,145.56743,32.536194,160.43173,165.81656,158.29279,176.44736,139.7539,165.31828
140.00624,139.71506,171.5213,8.031721,156.6717,158.34158,155.37726,178.69044,141.32729,165.25316
142.3243,140.1845,125.68124,51.44165,177.66148,169.37712,147.89963,179.11574,134.6532,161.4164
141.60149,141.78195,149.70609,27.269426,173.70595,173.0806,147.75241,178.83264,137.36308,165.25949
149.24168,146.48793,142.14832,34.55761,156.4635,150.54616,129.7495,166.33644,131.62656,167.89645
152.72041,154.29211,152.83867,25.422325,142.61421,137.11072,131.81885,168.57095,141.71211,165.9462
150.19716,153.5336,134.52402,41.42969,145.39272,145.9699,135.61674,163.36816,148.7902,167.70749
149.39491,152.41296,112.2241,62.628117,162.95158,154.62538,134.98811,157.18488,151.01608,165.93735
142.62952,148.45909,120.207146,53.55502,142.42957,143.09189,128.51552,163.57568,138.8527,152.10289
148.56213,150.93,115.63339,57.227467,141.7836,154.87984,117.01001,170.05638,124.76903,134.76367
142.18839,147.50244,102.60683,66.42733,149.09302,161.66281,106.315254,177.31699,105.038895,123.39919
149.83398,149.94788,123.41831,49.223362,144.51656,157.99649,98.541115,174.68927,94.506805,120.742874
136.17647,132.10449,118.69321,60.336235,151.49059,153.90495,85.501945,177.06647,83.638435,97.5969
142.0082,137.26614,91.22652,87.56705,146.55147,147.81262,82.778854,173.00444,82.156395,95.42359
146.27806,137.05579,112.183914,71.21838,146.65884,154.53139,78.86129,170.8041,79.65107,91.87644
145.26459,132.95274,138.77547,46.414608,143.13019,152.9595,80.42423,179.66957,76.631584,97.372215
140.14362,135.66301,142.85727,37.871086,144.04228,157.50504,78.17563,178.0009,65.76276,92.8309
137.27803,137.21817,160.23386,17.27995,145.93773,147.03255,76.036446,173.99011,66.5219,93.75746
135.576,128.80664,133.32274,44.92925,150.46114,158.76927,77.618195,170.34691,67.56666,95.73682
128.73419,128.85924,152.63567,23.008936,146.45226,150.64899,73.18673,175.24345,62.938244,93.5107
130.5844,128.6044,142.17819,32.82164,151.88412,155.10612,74.21995,168.04367,63.68953,97.73308
126.78114,127.94128,158.28719,16.059252,151.47646,152.81009,78.45009,173.30571,66.70259,95.27284
130.80814,127.59809,130.88216,46.723763,152.91777,157.80594,77.043816,174.65929,64.61544,94.03286
141.30011,137.16019,165.40671,15.89451,137.0246,138.94467,79.30941,174.52718,71.321304,95.70274
144.62695,137.15746,138.22319,41.275604,136.49626,139.30348,80.67558,174.31633,76.08268,101.6565
155.57039,148.99872,138.72327,42.64456,133.69058,136.33864,86.938866,175.9066,82.20885,93.32143
163.21875,155.93277,159.86238,10.582472,137.74072,150.94283,97.28662,179.94765,98.86409,106.06844
178.11102,156.01328,117.17789,66.03596,127.46047,141.88045,105.88723,163.7471,114.012344,123.07957
172.51889,156.28546,111.60765,65.873055,145.54497,144.60553,114.24313,161.7938,129.51097,135.7976
176.80762,166.38548,164.14146,23.521845,116.07618,132.86331,123.32866,162.48047,124.663414,146.34225
176.55843,156.68213,134.92361,52.238823,118.10632,138.88892,122.467,167.85338,124.86197,150.46248
162.88628,148.4004,138.9288,44.944134,125.102394,137.81961,132.62888,167.46065,128.87596,162.58092
149.5242,141.9468,155.89505,27.642847,146.07484,153.08649,154.34857,171.37047,138.68047,165.19724
157.47311,147.25134,106.700516,65.16509,154.402,149.64536,151.79758,174.65459,129.88553,159.08621
139.20773,132.60915,136.6991,40.46814,159.58287,167.93195,159.14742,174.25354,138.47246,169.90906
136.0156,136.54518,175.2655,3.6907208,168.12456,160.48953,172.43835,178.43326,155.98882,162.18983
176.76305,103.81092,86.14282,127.40209,51.561077,2.3074927,149.97404,127.232254,162.97435,104.26625
176.96036,104.23586,83.81894,131.55966,49.978134,0.1467098,157.51517,147.6258,167.71194,123.74398
172.81586,111.16356,76.46534,125.61429,65.42556,4.429874,162.96603,169.0992,167.59686,151.47746
